 State,10-Mar,10-Mar,10-Mar,10-Mar,11-Mar,11-Mar,11-Mar,11-Mar,12-Mar,12-Mar,12-Mar,12-Mar,13-Mar,13-Mar,13-Mar,13-Mar,14-Mar,14-Mar,14-Mar,14-Mar,15-Mar,15-Mar,15-Mar,15-Mar,16-Mar,16-Mar,16-Mar,16-Mar,17-Mar,17-Mar,17-Mar,17-Mar,18-Mar,18-Mar,18-Mar,18-Mar,19-Mar,19-Mar,19-Mar,19-Mar,20-Mar,20-Mar,20-Mar,20-Mar,21-Mar,21-Mar,21-Mar,21-Mar,22-Mar,22-Mar,22-Mar,22-Mar,23-Mar,23-Mar,23-Mar,23-Mar,24-Mar,24-Mar,24-Mar,24-Mar,25-Mar,25-Mar,25-Mar,25-Mar,26-Mar,26-Mar,26-Mar,26-Mar,27-Mar,27-Mar,27-Mar,27-Mar,28-Mar,28-Mar,28-Mar,28-Mar,29-Mar,29-Mar,29-Mar,29-Mar,30-Mar,30-Mar,30-Mar,30-Mar,31-Mar,31-Mar,31-Mar,31-Mar,01-Apr,01-Apr,01-Apr,01-Apr,02-Apr,02-Apr,02-Apr,02-Apr,03-Apr,03-Apr,03-Apr,03-Apr,04-Apr,04-Apr,04-Apr,04-Apr,05-Apr,05-Apr,05-Apr,05-Apr,06-Apr,06-Apr,06-Apr,06-Apr,07-Apr,07-Apr,07-Apr,07-Apr,08-Apr,08-Apr,08-Apr,08-Apr,09-Apr,09-Apr,09-Apr,09-Apr,10-Apr,10-Apr,10-Apr,10-Apr,11-Apr,11-Apr,11-Apr,11-Apr,12-Apr,12-Apr,12-Apr,12-Apr,13-Apr,13-Apr,13-Apr,13-Apr,14-Apr,14-Apr,14-Apr,14-Apr
,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured/Discharged/Migrated,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death,TCIN,TCFN,Cured,Death
Andhra Pradesh,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,5,0,0,0,7,0,0,0,8,0,0,0,9,0,1,0,11,0,1,0,14,0,1,0,14,0,1,0,19,0,1,0,23,0,1,0,40,0,1,0,83,0,0,0,86,0,1,1,132,0,1,1,161,0,1,1,190,0,1,1,226,0,1,3,266,0,1,3,305,0,5,4,348,0,6,4,363,0,7,6,381,0,11,6,381,0,11,6,432,0,11,7,473,0,14,9
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,9,0,0,0,9,0,0,0,10,0,0,0,10,0,1,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,11,0,0,0,11,0,0,0,11,0,0,0,11,0,10,0,11,0,10,0,11,0,10,0
Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,16,0,0,0,24,0,0,0,26,0,0,0,26,0,0,0,26,0,0,0,27,0,0,0,28,0,0,0,29,0,0,0,29,0,0,1,29,0,0,1,31,0,0,1,31,0,0,1
Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,3,0,0,1,4,0,0,1,6,0,0,1,9,0,0,1,9,0,0,1,11,0,0,1,15,0,0,1,15,0,0,1,23,0,0,1,24,0,0,1,29,0,0,1,30,0,0,1,30,0,0,1,32,0,0,1,32,0,0,1,38,0,0,1,39,0,0,1,60,0,0,1,60,0,0,1,64,0,19,1,64,0,26,1,66,0,26,1
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,13,0,0,0,16,0,0,0,16,0,0,0,18,0,0,0,18,0,0,0,18,0,0,0,18,0,0,0,18,0,7,0,18,0,7,0,18,0,7,0,18,0,7,0,18,0,7,0,19,0,7,0,21,0,7,0,21,0,7,0
Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,7,0,0,0,7,0,0,0,8,0,0,0,9,0,2,0,9,0,2,0,9,0,3,0,9,0,3,0,9,0,3,0,10,0,8,0,10,0,9,0,10,0,9,0,10,0,9,0,10,0,9,0,18,0,9,0,25,0,10,0,31,0,10,0,31,0,10,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,4,0,0,0,5,0,0,0,6,0,0,0,6,0,0,0,7,0,1,1,7,0,2,1,7,0,2,1,8,0,2,1,9,1,2,1,11,1,3,1,16,1,5,1,25,1,5,1,28,1,5,1,28,1,5,1,29,1,6,1,30,1,6,1,35,1,6,1,38,1,6,1,38,1,6,1,49,0,6,2,87,0,6,2,97,0,6,2,152,0,6,2,219,0,8,4,219,0,8,4,445,0,15,6,503,0,18,7,523,0,19,7,576,0,21,7,576,0,21,9,669,0,21,9,898,0,25,13,903,0,25,14,1069,0,25,19,1154,0,27,24,1510,0,30,28
